Source,Target,Type
rx_134,Hf_e,Directed
Ornithine_c,rx_135,Directed
Carbamoyl_phosphate_c,rx_135,Directed
rx_135,Hf_c,Directed
rx_135,LcCitrulline_c,Directed
rx_135,Phosphate_c,Directed
LcHistidine_e,rx_136,Directed
Dihydropteroate_c,rx_137,Directed
ATP_ChhHhhNhOhhPh_c,rx_137,Directed
LcGlutamate_c,rx_137,Directed
rx_137,Hf_c,Directed
rx_137,_hghcDihydrofolate_c,Directed
rx_137,ADP_ChhHhhNhOhhPh_c,Directed
rx_137,Phosphate_c,Directed
DcGlutamate_c,rx_138,Directed
rx_138,LcGlutamate_c,Directed
Phosphoenolpyruvate_c,rx_139,Directed
Salicin_ChhHhhOh_e,rx_139,Directed
rx_139,Pyruvate_c,Directed
rx_139,Salicin_hcphosphate_c,Directed
DcAlanine_e,rx_140,Directed
Hf_e,rx_140,Directed
rx_140,Hf_c,Directed
rx_140,DcAlanine_c,Directed
HexanoylcCoA_dncChjhCoAe_c,rx_141,Directed
AcetylcCoA_c,rx_141,Directed
rx_141,Coenzyme_A_c,Directed
rx_141,_hcOxooctanoylcCoA_c,Directed
AcetylcCoA_c,rx_142,Directed
DcGlucosamine_hcphosphate_c,rx_142,Directed
rx_142,Hf_c,Directed
rx_142,Coenzyme_A_c,Directed
rx_142,NcAcetylcDcglucosamine_hcphosphate_c,Directed
Manganese_e,rx_143,Directed
Menaquinone_h_c,rx_144,Directed
Glycerol_hcphosphate_c,rx_144,Directed
rx_144,Menaquinol_h_c,Directed
rx_144,Dihydroxyacetone_phosphate_c,Directed
Uridine_c,rx_145,Directed
GTP_ChhHhhNhOhhPh_c,rx_145,Directed
rx_145,Hf_c,Directed
rx_145,GDP_ChhHhhNhOhhPh_c,Directed
rx_145,UMP_ChHhhNhOhP_c,Directed
Putrescine_e,rx_146,Directed
Ornithine_c,rx_146,Directed
rx_146,Ornithine_e,Directed
rx_146,Putrescine_c,Directed
Coenzyme_A_c,rx_147,Directed
Nicotinamide_adenine_dinucleotide_c,rx_147,Directed
Acetaldehyde_c,rx_147,Directed
rx_147,Hf_c,Directed
rx_147,Nicotinamide_adenine_dinucleotide_c_reduced_c,Directed
rx_147,AcetylcCoA_c,Directed
_hcaminochcdhcphosphocDcribosyleimidazolechccarboxylate_c,rx_148,Directed
